#       a + 16O
   Angel	ELab=40.00(a+16O)ss
   0.000	3240999999999999765156203345438624972800.000000
   1.000	    56690000.000000
   2.000	     3307000.000000
   3.000	      551700.000000
   4.000	      142500.000000
   5.000	       50580.000000
   6.000	       24290.000000
   7.000	       14850.000000
   8.000	       10350.000000
   9.000	        7512.000000
  10.000	        5401.000000
  11.000	        3741.000000
  12.000	        2453.000000
  13.000	        1495.000000
  14.000	         826.200000
  15.000	         398.200000
  16.000	         157.200000
  17.000	          49.920000
  18.000	          28.450000
  19.000	          53.230000
  20.000	          94.660000
  21.000	         133.000000
  22.000	         157.600000
  23.000	         164.500000
  24.000	         155.000000
  25.000	         133.300000
  26.000	         104.900000
  27.000	          75.000000
  28.000	          47.850000
  29.000	          26.270000
  30.000	          11.560000
  31.000	           3.682000
  32.000	           1.617000
  33.000	           3.779000
  34.000	           8.388000
  35.000	          13.790000
  36.000	          18.670000
  37.000	          22.150000
  38.000	          23.800000
  39.000	          23.600000
  40.000	          21.810000
  41.000	          18.910000
  42.000	          15.400000
  43.000	          11.790000
  44.000	           8.471000
  45.000	           5.733000
  46.000	           3.709000
  47.000	           2.415000
  48.000	           1.766000
  49.000	           1.621000
  50.000	           1.805000
  51.000	           2.151000
  52.000	           2.513000
  53.000	           2.786000
  54.000	           2.907000
  55.000	           2.856000
  56.000	           2.645000
  57.000	           2.311000
  58.000	           1.903000
  59.000	           1.473000
  60.000	           1.066000
